,1. open,2. high,3. low,4. close,5. volume,EMA,Volume_Oscillator,RSI,%K,%D,+DI,-DI,ADX,PVT
8678,21.955,21.955,21.95,21.95,4221.0,21.95512540119131,-63.03680265278005,35.49382716049239,12.49999999999778,17.261904761901544,13.02083333333037,32.552083333335176,23.756214203054856,-15054.475015973112
8679,21.95,21.955,21.95,21.955,2979.0,21.955083600794207,-73.89391646754339,33.54531001589774,24.99999999999556,20.8333333333296,15.048908954097504,30.097817908203027,23.244398039065675,-15053.796428273796
8680,21.95,21.955,21.945,21.955,14242.0,21.955055733862807,23.55411095174201,33.92282958199216,24.99999999999556,20.8333333333296,14.57725947521576,32.79883381924323,23.3199446314671,-15053.796428273796
8681,21.955,21.965,21.955,21.965,16109.0,21.958370489241872,36.74447031926001,38.83928571428642,50.0,33.33333333333034,18.22157434402229,32.79883381924323,22.736150564527485,-15046.459147472156
8682,21.965,21.965,21.96,21.96,7482.0,21.958913659494584,-36.94492161657647,31.39880952381246,37.50000000000222,37.499999999999226,15.128593040846766,34.03933434190724,23.97757225867928,-15048.1623115969
8683,21.96,21.965,21.95,21.965,19942.0,21.960942439663057,66.73471577536269,45.6293706293719,50.0,45.83333333333403,15.128593040846766,37.82148260211826,25.512034245871025,-15043.621783363747
8684,21.965,21.965,21.96,21.965,11812.0,21.96229495977537,-2.321369750111297,40.42145593869631,50.0,45.83333333333403,15.128593040847171,37.82148260211928,27.86738498831873,-15043.621783363747
8685,21.96,21.96,21.95,21.955,12969.0,21.959863306516915,5.505644485542359,33.92282958199216,28.571428571422768,42.85714285714089,7.288629737610469,43.73177842565764,31.66875717770805,-15049.52617671681
8686,21.95,21.955,21.94,21.945,27180.0,21.95490887101128,113.66160812197108,29.224376731301803,14.285714285711384,30.95238095237801,7.032348804502028,45.710267229254434,36.104916372855406,-15061.906044628446
8687,21.945,21.945,21.94,21.945,2880.0,21.95160591400752,-76.68837292127874,33.922829581994094,19.99999999999716,20.95238095237707,7.564296520425133,41.60363086233152,40.2675712944985,-15061.906044628446
8688,21.945,21.945,21.94,21.945,2915.0,21.94940394267168,-76.3679625778783,36.88811188811178,19.99999999999716,18.0952380952352,7.861635220127551,39.308176100629375,44.16172254994782,-15061.906044628446
8689,21.945,21.95,21.945,21.945,13422.0,21.94793596178112,7.020549082979068,40.42145593869906,19.99999999999716,19.99999999999716,12.798634812288292,38.39590443686185,46.30831940858577,-15061.906044628446
8690,21.945,21.945,21.94,21.945,7305.0,21.94695730785408,-42.18074749489481,39.13894324853288,19.99999999999716,19.99999999999716,12.919896640828611,43.066322136091294,47.85645680577889,-15061.906044628446
8691,21.9482,21.95,21.945,21.945,9131.0,21.94630487190272,-28.225283471220543,40.00000000000141,19.99999999999716,19.99999999999716,16.66666666666815,41.66666666666889,48.671993470371405,-15061.906044628446
8692,21.9475,21.98,21.945,21.98,181617.0,21.957536581268485,1088.039601974211,64.7058823529429,100.0,46.66666666666473,34.482758620692785,27.586206896553243,47.05820105820239,-14772.245757547098
8693,21.985,21.995,21.975,21.9801,102212.0,21.965057720845657,502.32888874920445,68.78901373283497,72.90909090908931,64.30303030302879,40.62500000000347,25.00000000000111,45.78835978836047,-14771.780734799157
8694,21.99,21.995,21.99,21.99,18222.0,21.973371813897103,5.706070374030032,70.58823529411839,90.90909090908622,87.93939393939182,38.25779870512338,23.54326074161342,45.15343915343917,-14763.573410901632
8695,21.99,22.005,21.985,21.9925,56878.0,21.979747875931405,213.46347619778064,71.42857142857258,80.7692307692312,81.52913752913554,41.68982768204684,19.45525291828879,45.01357901357832,-14757.10706256147
8696,21.996,21.9999,21.99,21.995,1596.0,21.984831917287607,-91.20355825989186,68.75000000000111,84.61538461538713,85.43123543123481,36.15127919911025,19.46607341490628,45.108817108816005,-14756.925637075508
8697,21.995,21.995,21.99,21.99,18538.0,21.986554611525072,0.7315690426208341,68.74999999999805,76.92307692307524,80.76923076923116,36.15127919910954,19.46607341490589,44.54471454471316,-14761.139776652686
8698,21.995,21.995,21.99,21.99,15000.0,21.987703074350048,-19.45393346715914,66.6666666666651,76.92307692307524,79.48717948717918,38.2803297997634,14.723203769139449,44.65053465053322,-14761.139776652686
8699,21.99,22.0,21.99,21.995,6069.0,21.99013538290004,-66.40561068924129,68.74999999999945,84.61538461538713,79.48717948717918,40.04576659038688,14.302059496566596,44.95128653023241,-14759.759831222946
8700,22.0,22.0,21.995,21.995,12786.0,21.99175692193336,-27.48233754988685,78.57142857142894,84.61538461538713,82.05128205128314,42.47572815533792,9.101941747571026,44.5031072585242,-14759.759831222946
8701,22.0,22.0074,21.99,22.005,9044.0,21.99617128128891,-48.59791394526924,92.8571428571396,96.4391691394636,88.55664612341259,46.29186602870519,2.9904306220088905,45.47182354762926,-14755.647987622127
8702,22.005,22.02,22.0018,22.02,7082.0,22.004114187525943,-59.34281796792549,94.11764705882082,100.0,93.68485125161688,49.889135254985234,2.77161862527652,46.82135121294679,-14750.82044842649
8703,22.02,22.02,22.01,22.02,9425.0,22.009409458350632,-46.10369249273519,94.11764705882082,100.0,98.81305637982116,48.54368932038508,2.696871628909856,48.3418190492046,-14750.82044842649
8704,22.015,22.03,22.015,22.025,14992.0,22.01460630556709,-13.9348732540984,94.4444444444418,94.4444444444416,98.14814814814716,48.61821903786884,2.558853633571566,51.00848571587158,-14747.416270406507
8705,22.03,22.03,22.02,22.03,6518.0,22.01973753704473,-62.07801023005504,94.7368421052608,100.0,98.14814814814716,47.405189620755785,0.0,54.08540879279488,-14745.936588227163
8706,22.03,22.03,22.025,22.025,4779.0,22.02149169136316,-72.1045074072777,89.99999999999574,94.11764705882058,96.1873638344207,44.91017964071568,0.0,57.89493260231879,-14747.021245512686
8707,22.03,22.03,22.02,22.025,8034.0,22.02266112757544,-53.18240931301372,84.61538461537873,90.90909090908622,95.0089126559689,34.20752565564079,2.850627137969559,62.79521750260373,-14747.021245512686
8708,22.025,22.03,22.01,22.02,48888.0,22.021774085050293,173.07765352518632,78.54077253218529,77.77777777777514,87.60150524856061,25.65564424173008,8.551881413908676,64.54124924863575,-14758.119542902014
8709,22.02,22.025,22.015,22.02,6945.0,22.021182723366863,-60.24112939236767,74.99999999999704,77.77777777777514,82.15488215487879,26.39296187683003,8.797653958941954,66.28728099466777,-14758.119542902014
8710,22.025,22.03,22.021,22.03,4728.0,22.02412181557791,-72.91721362731572,77.77777777777486,100.0,85.1851851851834,24.92211838006194,9.345794392520736,66.89334160072912,-14755.972403937436
8711,22.03,22.035,22.03,22.035,23426.0,22.02774787705194,31.986759630959927,78.57142857142495,100.0,92.59259259259169,28.92030848328965,9.640102827760934,68.22667493406315,-14750.655563265624
8712,22.035,22.0374,22.025,22.035,50452.0,22.03016525136796,174.6922878682836,84.61538461538336,94.93670886075664,98.31223628691885,27.60736196318938,12.269938650305663,68.79077749816602,-14750.655563265624
8713,22.03,22.035,22.03,22.035,3948.0,22.03177683424531,-78.33203900013447,84.61538461538336,94.93670886075664,96.62447257383774,27.607361963189987,12.269938650305932,68.39191709930573,-14750.655563265624
8714,22.035,22.035,22.03,22.035,17617.0,22.032851222830207,-1.7739822137142185,83.33333333333135,94.93670886075664,94.93670886075664,25.31645569620348,12.658227848100612,67.45624458468608,-14750.655563265624
8715,22.035,22.035,22.025,22.025,14724.0,22.030234148553472,-17.89774205779797,71.42857142856853,73.83966244725268,87.9043600562553,24.539877300614048,15.337423312884052,64.68098063295118,-14757.337659930025
8716,22.025,22.035,22.02,22.025,24237.0,22.028489432368985,32.98728947245687,66.6666666666647,65.1685393258363,77.9816368779485,20.29887920298941,18.67995018679953,59.10026576379682,-14757.337659930025
